#RA        DEC       MAG_G     MAG_I     ANGSEP    RPROJ     SNR       VTRUE       VSYS       VMEAS      VSYSERR    
 180.05652    0.28696   23.28190   22.91130    0.29247    0.16142    7.60543   -0.71720    3.54759    0.16329    2.00000
 179.94795   -0.00578   21.52575   21.30547    0.05237    0.02890   30.84163    3.83748   -1.26253    2.68180    2.00000
 179.94598    0.01358   23.06341   22.72119    0.05570    0.03074    9.08412   -1.34798    2.32770   -0.03903    2.00000
 179.93440    0.08463   23.23760   22.87293    0.10707    0.05909    7.90390   -0.60725   -2.59810   -2.45290    2.00000
 179.91682   -0.50015   22.19216   21.93537    0.50702    0.27984   17.91741   -1.14650   -1.84705   -3.23359    2.00000
 180.00024   -0.00054   22.36292   22.09243    0.00060    0.00033   15.65776   -4.36711   -3.67098  -10.12292    2.00000
 180.05849    0.09547   20.36478   19.89494    0.11195    0.06179   90.56756    1.50994   -1.75830   -0.34926    2.00000
 180.03683    0.08186   22.47472   22.19502    0.08977    0.04955   14.43621    3.40379    0.38029    4.39791    2.00000
 180.04472   -0.02258   20.64801   20.20601    0.05010    0.02765   72.76569   -1.57000    2.39864    0.90511    2.00000
 179.95894    0.03707   22.61671   22.32365    0.05532    0.03053   12.90453   -0.91769   -5.29803   -7.50215    2.00000
 180.03946    0.08699   22.21529   21.95663    0.09552    0.05272   17.53613   -2.89581    0.52450   -0.21366    2.00000
 179.92072   -0.01364   23.43692   23.04263    0.08045    0.04440    6.70090    0.91256   -1.02800    2.51925    2.00000
 179.92664   -0.05548   22.58541   22.29553    0.09199    0.05077   13.23941   -0.51438   -0.87019   -1.45899    2.00000
 179.99229   -0.02282   23.80566   23.35076    0.02409    0.01329    5.14955    3.18553   -1.37692   -0.69174    2.00000
 180.07921   -0.11549   21.49643   21.27553    0.14005    0.07729   31.62912    0.47162   -0.62768    0.01382    2.00000
 180.03601   -0.03190   23.83185   23.37239    0.04811    0.02655    5.04069    2.17426    1.40231    9.33856    2.00000
 180.08365   -0.01479   22.93151   22.60515    0.08495    0.04689    9.98668   -0.92320   -0.70678   -1.35077    2.00000
 179.96852   -0.03466   22.00644   21.76289    0.04683    0.02584   21.01032   -2.30273    2.43364    0.38700    2.00000
 180.03024    0.03030   22.17931   21.92356    0.04281    0.02363   18.12924    1.69766   -1.05829    1.77089    2.00000
 180.44376   -0.15925   22.22815   21.96844    0.47146    0.26021   17.32430    0.98057    2.67433    3.59700    2.00000
 179.95828   -0.04298   23.47476   23.07464    0.05989    0.03305    6.53971   -2.02148   -0.56829    0.08015    2.00000
 180.07623    0.01260   22.64279   22.34708    0.07727    0.04264   12.62546   -0.99069   -2.18258   -1.52800    2.00000
 179.91383    0.01790   22.87674   22.55634    0.08801    0.04857   10.36640    5.23753    0.76177    5.60864    2.00000
 180.02965    0.00877   23.16202   22.80731    0.03092    0.01707    8.41431   -2.05513   -0.43080   -4.08889    2.00000
 180.01025   -0.05061   22.23329   21.97317    0.05163    0.02850   17.23957   -1.99987   -0.10767   -2.06237    2.00000
 180.02737    0.00987   23.24492   22.87928    0.02909    0.01606    7.85450    2.39061   -1.77978   -5.40754    2.00000
 179.96259   -0.04976   23.43422   23.04034    0.06226    0.03436    6.71241    0.34491    1.34349    2.88310    2.00000
 179.95073   -0.11152   22.14766   21.89459    0.12192    0.06729   18.64872   -0.53809    0.02584   -2.08381    2.00000
 179.98560   -0.02396   22.27698   22.01333    0.02795    0.01543   16.59969    4.39664    6.86880   11.90378    2.00000
 180.01167    0.03807   22.26670   22.00388    0.03982    0.02198   16.71221   -6.35451   -0.10782   -5.69337    2.00000
 179.98482    0.12170   23.55584   23.14325    0.12265    0.06769    6.19430   -1.29915    0.18884   -2.72100    2.00000
 180.17455    0.01297   22.85588   22.53774    0.17503    0.09660   10.51106    6.70201   -1.21285    7.23784    2.00000
 179.94801    0.02884   22.93151   22.60515    0.05945    0.03281    9.98668   -1.71270    0.31504   -4.53162    2.00000
 180.44212    0.32011   21.12608   20.87586    0.54584    0.30127   43.52911   -0.40109   -1.37972   -1.75155    2.00000
 180.04146   -0.07445   22.90022   22.57726    0.08522    0.04703   10.20367   -1.29700    1.87300   -0.53789    2.00000
 179.98555   -0.01216   18.06586   18.10286    0.01889    0.01042  271.64435    0.02703    4.85850    4.81739    2.00000
 180.00578   -0.02746   22.23843   21.97789    0.02807    0.01549   17.15484   -2.46103    3.97136   -0.25562    2.00000
 179.90276    0.08297   22.83762   22.52146    0.12783    0.07055   10.63763    1.00986   -0.40443    2.11616    2.00000
 180.00771    0.01034   23.65880   23.22929    0.01290    0.00712    5.76114   -3.62866    0.41730   -8.59245    2.00000
 180.05283    0.02433   22.42532   22.14993    0.05815    0.03210   14.97314   -1.64365    3.99881    1.84223    2.00000
 180.03748    0.02793   23.83423   23.37435    0.04674    0.02580    5.03080    3.82692    0.45913    0.83411    2.00000
 180.02933   -0.07852   21.71654   21.48988    0.08381    0.04626   25.99072    1.71493   -1.42780    0.66933    2.00000
 180.01479   -0.02733   23.24736   22.88139    0.03107    0.01715    7.83804    0.39612   -1.38102    0.04475    2.00000
 179.98746    0.02443   21.83987   21.60725    0.02746    0.01516   23.80132    5.84730   -0.59433    4.33705    2.00000
 179.90686    0.06164   22.23072   21.97081    0.11169    0.06164   17.28194   -2.70689   -2.72038   -6.11190    2.00000
 179.94878    0.02556   23.55584   23.14325    0.05724    0.03159    6.19430   -3.50849    4.53785   -2.01926    2.00000
 179.99834    0.02651   21.76946   21.54091    0.02656    0.01466   24.99092    0.74967   -2.17224   -1.12011    2.00000
 179.98538   -0.03047   23.63988   23.21355    0.03380    0.01866    5.84038    1.49640   -1.56023    1.38590    2.00000
 179.95790   -0.12897   23.22541   22.86234    0.13567    0.07488    7.98622   -2.38523   -0.08030    0.21994    2.00000
 179.96059   -0.01822   23.71680   23.27733    0.04341    0.02396    5.51926   -3.87335   -1.50992    2.25764    2.00000
 180.06818   -0.07140   23.25955   22.89198    0.09873    0.05449    7.75571    5.80514   -0.76396    0.10961    2.00000
 179.88570   -0.04785   23.46125   23.06321    0.12391    0.06839    6.59727   -5.80453    5.33925    1.40815    2.00000
 180.00296    0.07782   22.72739   22.42295    0.07787    0.04298   11.72206   -4.26316    0.47165   -2.29321    2.00000
 179.98569   -0.04579   23.72803   23.28663    0.04798    0.02648    5.47245    2.43434   -1.70645    4.08534    2.00000
 180.07431    0.00404   22.97379   22.64271    0.07442    0.04108    9.69455   -2.18614   -2.15276   -3.76909    2.00000
 180.01288   -0.00887   22.38212   22.11012    0.01564    0.00863   15.44711   -6.67834   -0.41092   -6.68431    2.00000
 180.00150    0.00765   23.37171   22.98739    0.00780    0.00431    7.01357    1.16076    0.53647    3.50980    2.00000
 179.99644    0.03259   22.90804   22.58423    0.03279    0.01810   10.14942    1.15823    1.74117    0.94862    2.00000
 180.00615    0.19757   22.80722   22.49432    0.19767    0.10910   10.87225   -3.52554    4.04775    2.40971    2.00000
 179.87811   -0.41477   23.02980   22.69182    0.43230    0.23860    9.31257   -6.44189    1.90414   -5.30546    2.00000
 179.99442   -0.00824   21.54889   21.32851    0.00996    0.00550   30.23551    0.41373   -3.71242   -2.04284    2.00000
 180.08116   -0.01237   22.90543   22.58191    0.08210    0.04531   10.16750   -4.35981    0.42034   -2.55831    2.00000
 180.03609   -0.03661   23.76993   23.32128    0.05140    0.02837    5.29799   -2.05812   -5.58143  -12.79225    2.00000
 180.00652   -0.09351   23.83900   23.37828    0.09374    0.05174    5.01101    1.11158    0.07996   11.04229    2.00000
 180.02315   -0.04751   23.53962   23.12953    0.05285    0.02917    6.26338    0.43281    0.08081    3.43505    2.00000
 179.80447    0.11522   21.39808   21.17504    0.22695    0.12526   34.27235   -4.41235   -0.21675   -5.07934    2.00000
 179.96608    0.06220   23.80566   23.35076    0.07085    0.03910    5.14955   -4.48887    1.20442   -5.35648    2.00000
 179.89787    0.13334   23.11622   22.76735    0.16796    0.09270    8.72513    5.58050   -1.05751    0.71180    2.00000
 179.96729   -0.07542   23.79375   23.34094    0.08221    0.04537    5.19903   -5.12599   -0.89380   -1.74880    2.00000
 180.04489    0.01018   22.13999   21.88758    0.04603    0.02540   18.77446   -0.33482   -0.73215    0.82022    2.00000
 179.95547    0.17570   21.82898   21.59704    0.18125    0.10004   23.98433   -3.78202   -0.57151   -3.93742    2.00000
 180.09212   -0.03172   18.83948   18.28678    0.09743    0.05377  246.30977    1.02302    1.18002    2.14632    2.00000
 179.98364   -0.06031   21.34369   21.11902    0.06249    0.03449   35.74609   -3.46818   -4.78993   -8.16229    2.00000
 179.96758    0.11950   18.18916   17.58704    0.12382    0.06834  356.24478   -1.17121   -0.33858   -1.50110    2.00000
 179.99995   -0.04050   23.55584   23.14325    0.04050    0.02235    6.19430    0.41252   -2.30874    3.41291    2.00000
 180.02261   -0.01345   21.81809   21.58684    0.02632    0.01453   24.16735    2.71309   -0.40695    5.19890    2.00000
 179.95766   -0.08190   23.48827   23.08608    0.09219    0.05088    6.48214   -6.34178   -0.18556   -1.42133    2.00000
 179.84433   -0.04592   21.71654   21.48988    0.16231    0.08958   25.99072   -4.32557   -2.46293   -6.62386    2.00000
 179.99596   -0.06839   22.98026   22.64838    0.06851    0.03781    9.65045    3.35697   -2.03636   -0.77870    2.00000
 179.98570   -0.01209   23.23760   22.87293    0.01872    0.01033    7.90390    0.98146   -2.59193   -1.45321    2.00000
 180.15616    0.03436   22.58280   22.29318    0.15990    0.08825   13.26732    0.10060    0.48057    2.69872    2.00000
 179.98595    0.01770   23.81994   23.36256    0.02260    0.01247    5.09017    0.20438   -0.89625    3.81891    2.00000
 179.95091    0.04719   21.84531   21.61235    0.06808    0.03758   23.70981   -4.23937   -0.79255   -6.55839    2.00000
 180.04095   -0.06033   22.53331   22.24841    0.07292    0.04024   13.80043   -6.10533    2.11492   -4.68236    2.00000
 179.99788    0.02719   22.26927   22.00624    0.02727    0.01505   16.68408   -0.60995    1.55478    1.14432    2.00000
 180.03036    0.01488   22.59845   22.30724    0.03381    0.01866   13.09987   -0.15517   -1.71643   -4.07732    2.00000
 180.01588   -0.03615   23.59490   23.17597    0.03948    0.02179    6.02954   -2.74742    3.08318    0.55722    2.00000
 180.03847    0.03612   21.25066   21.01990    0.05276    0.02912   38.35315   -0.97551    1.07324    0.00587    2.00000
 180.07787   -0.03920   23.24248   22.87716    0.08718    0.04812    7.87097    5.93846   -1.36356    2.55274    2.00000
 179.99362    0.10857   22.05029   21.80372    0.10876    0.06003   20.27825   -7.20097   -0.58622   -8.26590    2.00000
 179.90886    0.05848   22.91847   22.59353    0.10829    0.05977   10.07709   -1.70744    0.61370    0.31671    2.00000
 180.05463   -0.01307   22.41092   22.13666    0.05617    0.03100   15.13113   -1.58898   -0.59092   -3.39692    2.00000
 179.93938    0.02012   22.52159   22.23773    0.06387    0.03525   13.92758   -4.61819    0.94626   -6.48173    2.00000
 180.17371    0.07401   23.00934   22.67390    0.18881    0.10421    9.45199    0.70473   -1.55661    1.16188    2.00000
 179.72679    0.04488   22.96733   22.63704    0.27687    0.15281    9.73865    0.58721    0.86781    3.65809    2.00000
 179.99989   -0.13833   21.53285   21.31272    0.13833    0.07635   30.65072   -7.63723   -0.42016   -8.03075    2.00000
