#RA        DEC       MAG_G     MAG_I     ANGSEP    RPROJ     SNR       VTRUE       VSYS       VMEAS      VSYSERR    
 179.83598    0.08117   22.70244   22.40065    0.18300    0.10100   11.98763   -3.36698    1.97986   -0.60953    2.00000
 180.06335    0.01724   21.85075   21.61746    0.06566    0.03624   23.61830   -0.02087   -0.29482   -0.02781    2.00000
 179.99258   -0.02189   23.71493   23.27578    0.02311    0.01275    5.52706   -1.62807    2.63325    3.26423    2.00000
 180.00725   -0.00530   23.03220   22.69392    0.00898    0.00496    9.29626    1.21009    1.54240    1.85859    2.00000
 179.97826    0.19167   23.79137   23.33897    0.19290    0.10646    5.20893   -3.53107    2.91689    0.39057    2.00000
 179.92775    0.01377   21.57225   21.35096    0.07355    0.04059   29.64489    0.21910   -1.57989   -0.80995    2.00000
 180.01125    0.02753   22.94716   22.61910    0.02974    0.01642    9.87819   -7.78601   -1.21027   -8.81037    2.00000
 179.90327    0.05547   23.68499   23.25098    0.11150    0.06154    5.65191   -3.94776   -0.65510   -1.44155    2.00000
 180.03102    0.03161   23.78899   23.33700    0.04429    0.02444    5.21882   -3.56605   -4.59190   -8.14581    2.00000
 179.97992   -0.09825   21.88341   21.64807    0.10029    0.05535   23.06925   -2.97354   -0.28785   -3.57340    2.00000
 179.85115    0.47661   23.32816   22.95050    0.49931    0.27559    7.30053    2.05273   -0.92322    5.07635    2.00000
 180.02042   -0.02458   23.56125   23.14782    0.03195    0.01763    6.17127    2.04453   -0.55332    0.23640    2.00000
 180.13351    0.03393   23.77946   23.32914    0.13776    0.07603    5.25841   -5.77069   -2.34934   -4.99483    2.00000
 180.02483   -0.02881   23.59490   23.17597    0.03804    0.02099    6.02954   -0.57311    1.41331   -1.68953    2.00000
 180.00562    0.11186   23.44233   23.04720    0.11200    0.06182    6.67787    5.14678   -0.65056    3.81991    2.00000
 180.00768    0.12978   22.82979   22.51449    0.13000    0.07175   10.69188   -1.80494    1.84958    1.81055    2.00000
 179.98222    0.01646   21.73242   21.50519    0.02422    0.01337   25.63148    3.81469    2.99651    7.82537    2.00000
 179.97301    0.06734   22.77978   22.46979    0.07255    0.04004   11.16438   -2.31529   -0.79183   -2.30906    2.00000
 180.01152   -0.05466   22.12683   21.87555    0.05586    0.03083   18.99001    6.55091    0.71269    8.01647    2.00000
 180.24481   -0.08615   23.41525   23.02428    0.25952    0.14324    6.79324   -2.25750    2.55909   -0.81937    2.00000
 180.02921   -0.00335   22.64279   22.34708    0.02940    0.01623   12.62546    3.33503   -1.06324    1.73720    2.00000
 180.02589    0.02404   23.66067   23.23084    0.03534    0.01950    5.75334    4.25078   -2.81552    3.69942    2.00000
 179.92497   -0.11876   23.19616   22.83694    0.14048    0.07753    8.18380   -2.48114    1.14850    0.95189    2.00000
 180.02344   -0.00108   23.08021   22.73588    0.02346    0.01295    8.96990   -1.40419   -1.05014   -3.24761    2.00000
 180.03987   -0.04807   23.52881   23.12038    0.06245    0.03447    6.30943    0.91912    1.54247    3.36107    2.00000
 180.01241   -0.02998   23.53152   23.12267    0.03244    0.01791    6.29792    1.95027    2.31364    6.91498    2.00000
 179.98924    0.01571   20.60026   20.15144    0.01904    0.01051   75.57794   -0.83287   -1.19267   -2.14229    2.00000
 180.10231   -0.05259   21.76417   21.53581    0.11504    0.06349   25.08243   -4.17111   -1.44281   -5.87233    2.00000
 179.98412   -0.03537   23.33905   22.95972    0.03877    0.02140    7.22879    0.83281   -0.10683    5.10676    2.00000
 179.97992   -0.08815   21.97355   21.73227    0.09041    0.04990   21.55937   -1.24594   -2.50932   -4.24879    2.00000
 179.92531   -0.13316   23.02012   22.68335    0.15268    0.08427    9.37848   -0.56895    3.19013    4.62586    2.00000
 179.96774    0.05123   23.09461   22.74846    0.06054    0.03341    8.87199   -5.43439    0.45102   -5.71320    2.00000
 179.99686   -0.03768   23.81756   23.36059    0.03781    0.02087    5.10007   -4.60816   -1.20811    7.19836    2.00000
 180.04762    0.07206   21.44503   21.22301    0.08637    0.04767   33.01057    0.29876    2.79604    2.86426    2.00000
 180.04037   -0.01369   22.84023   22.52379    0.04263    0.02353   10.61955   -0.98160    0.83320    1.77246    2.00000
 179.94272   -0.09446   18.58948   18.01964    0.11047    0.06097  283.10739    1.62188    0.17811    1.84861    2.00000
 179.99022   -0.01480   21.88886   21.65318    0.01774    0.00979   22.97774    1.88724    2.18531    4.19336    2.00000
 180.32352   -0.08744   21.86980   21.63532    0.33513    0.18497   23.29802   -0.63431   -1.46206   -2.86608    2.00000
 180.07477   -0.01895   22.01466   21.77055    0.07714    0.04257   20.87306    4.09969   -0.29530    3.07667    2.00000
