#RA        DEC       MAG_G     MAG_I     ANGSEP    RPROJ     SNR       VTRUE       VSYS       VMEAS      VSYSERR    
 179.94424    0.03720   23.08501   22.74007    0.06702    0.03699    8.93726    1.27094    4.93174    7.84874    2.00000
 180.01512    0.01852   23.71493   23.27578    0.02391    0.01320    5.52706   -3.33918   -0.12580    0.37567    2.00000
 180.01474    0.09156   21.59561   21.37342    0.09274    0.05118   29.05427   -1.92989   -2.66626   -3.29618    2.00000
 180.16118    0.00457   22.54034   22.25482    0.16124    0.08899   13.72413   -2.84429    0.75766   -2.39829    2.00000
 180.08974   -0.03584   23.69248   23.25718    0.09662    0.05333    5.62070   -1.07013   -2.07189    0.73776    2.00000
 180.01793   -0.03165   20.89583   20.55029    0.03638    0.02008   55.73042   -3.67969   -2.60745   -6.64378    2.00000
 179.96788    0.00290   23.33633   22.95742    0.03225    0.01780    7.24673   -2.97695    1.59491    1.24655    2.00000
 180.04279   -0.00883   23.18153   22.82424    0.04369    0.02412    8.28259   -0.36715   -0.97087    0.18975    2.00000
 180.00606    0.04683   23.19128   22.83271    0.04722    0.02606    8.21673   -1.43734    2.80294    1.55056    2.00000
 179.98257    0.02347   21.93519   21.69655    0.02923    0.01614   22.19992    2.91351    1.09470    4.50660    2.00000
 180.06310    0.00614   22.38932   22.11676    0.06339    0.03499   15.36812   -2.39100    1.83760   -1.10780    2.00000
 180.14449   -0.22288   23.38259   22.99661    0.26561    0.14660    6.94184   -4.01398   -0.40525   -5.40881    2.00000
 179.95979    0.04598   22.85588   22.53774    0.06108    0.03371   10.51106    0.67614   -2.66007   -1.57817    2.00000
 179.86984    0.01424   21.36679   21.14306    0.13094    0.07227   35.11353   -2.70445    2.11442   -0.53525    2.00000
 179.71301    0.11788   22.79225   22.48094    0.31025    0.17124   11.03159   12.42451    0.63215   14.27205    2.00000
 180.03778    0.03091   21.30324   21.07592    0.04882    0.02694   36.87959    4.74146   -3.40535    1.47635    2.00000
 180.01801   -0.03241   23.06341   22.72119    0.03707    0.02046    9.08412    0.11276    0.02460   -0.36034    2.00000
 180.04440   -0.01582   22.71242   22.40957    0.04714    0.02602   11.88140    3.79560    3.74718    7.98729    2.00000
 179.89609   -0.01367   22.17931   21.92356    0.10480    0.05784   18.12924   -0.80395   -0.90984   -2.50157    2.00000
 180.05779    0.01888   22.13670   21.88457    0.06079    0.03355   18.82835   -0.49793   -0.33411   -1.47561    2.00000
 179.88261   -0.01751   23.10661   22.75895    0.11868    0.06550    8.79040    1.43593    0.98050   -1.23508    2.00000
