#RA        DEC       MAG_G     MAG_I     ANGSEP    RPROJ     SNR       VTRUE       VSYS       VMEAS      VSYSERR    
 180.08002   -0.07784   23.27918   22.90900    0.11164    0.06161    7.62329   -3.48789    1.32891   -5.89873    2.00000
 180.04552   -0.29214   22.22558   21.96608    0.29567    0.16319   17.36667   -0.33604    1.01191    0.51933    2.00000
 179.90852    0.08630   21.26078   21.03068    0.12577    0.06941   38.06978    3.76327    0.67188    4.46974    2.00000
 180.01756   -0.02288   23.29278   22.92052    0.02884    0.01592    7.53369   -2.79634   -2.45187   -7.57268    2.00000
 179.94830    0.02062   23.57723   23.16121    0.05565    0.03072    6.10386    0.49510   -2.08628   -7.56505    2.00000
 179.74486   -0.02702   21.15445   20.91033    0.25657    0.14161   42.23740    0.39447   -0.17355   -0.09212    2.00000
 179.95905   -0.01084   22.51925   22.23560    0.04236    0.02338   13.95302    2.04210    1.41562    5.21721    2.00000
 179.99165    0.10154   23.52611   23.11809    0.10188    0.05623    6.32095    1.99523    1.40407    4.28197    2.00000
 180.00424   -0.01656   21.26684   21.03714    0.01710    0.00944   37.89975    2.32044   -0.43456    1.66982    2.00000
 179.98326    0.04567   23.67377   23.24168    0.04864    0.02685    5.69872   -1.20397   -0.14365   -0.59302    2.00000
 179.97736   -0.01756   23.03460   22.69602    0.02865    0.01581    9.27994    3.94742   -1.71292   -0.18632    2.00000
 179.93248   -0.05981   22.11368   21.86353    0.09020    0.04978   19.20556   -2.51256   -1.58223   -2.85580    2.00000
 179.73682   -0.08734   23.50449   23.09980    0.27729    0.15304    6.41306   -2.69672   -3.44574   -3.60561    2.00000
 179.89626    0.02852   22.75982   22.45194    0.10759    0.05938   11.37683   -0.35965    4.82899    4.49151    2.00000
 180.01100    0.08129   23.39348   23.00584    0.08203    0.04528    6.88611    3.78074    1.06363   -1.51234    2.00000
 179.91200   -0.02595   17.98059   17.99347    0.09175    0.05064  286.92636    5.17063   -2.27577    2.90787    2.00000
 180.01003   -0.02823   23.21810   22.85599    0.02996    0.01653    8.03562    6.62654   -0.92575    6.00493    2.00000
 179.98720    0.00262   22.48878   22.20783    0.01306    0.00721   14.28362   -2.21745    3.03376    3.70120    2.00000
 180.00717    0.03906   23.06821   22.72539    0.03971    0.02192    9.05149   -0.36964    0.77284   -0.07992    2.00000
 179.92667   -0.10482   22.38692   22.11455    0.12792    0.07060   15.39445   -3.78269   -0.54559   -2.94112    2.00000
 180.07558    0.16770   23.16446   22.80942    0.18394    0.10152    8.39784    3.48158   -1.60098    9.34921    2.00000
 179.99034    0.06473   23.31728   22.94128    0.06544    0.03612    7.37227   -3.41669   -2.12959   -4.02062    2.00000
 180.04405    0.00514   22.10776   21.85797    0.04435    0.02448   19.30536   -0.98435   -0.26838   -0.94552    2.00000
 179.99509    0.01694   21.91607   21.67869    0.01764    0.00974   22.52020    4.04559    3.01104    7.25092    2.00000
 179.95477    0.02434   23.28190   22.91130    0.05137    0.02835    7.60543    6.05800   -4.74635    4.90972    2.00000
 180.01349    0.03890   22.81720   22.50324    0.04117    0.02272   10.77940   -4.53429   -1.72413   -5.16761    2.00000
 179.97125   -0.02270   22.53097   22.24628    0.03663    0.02022   13.82586   -3.90649    1.26951   -1.78799    2.00000
 180.00960    0.03017   23.17178   22.81577    0.03166    0.01747    8.34845   -4.25354   -0.20415   -4.32301    2.00000
 179.96332   -0.11312   23.69996   23.26338    0.11892    0.06563    5.58948    3.31985   -1.33922    2.16718    2.00000
 180.05258   -0.06007   21.79632   21.56643    0.07983    0.04406   24.53338   -2.31456    0.76989   -1.98331    2.00000
 179.83698    0.23248   23.58847   23.17061    0.28394    0.15671    6.05657   -0.29479   -2.13698   -0.47429    2.00000
 179.43166   -0.00098   23.49098   23.08836    0.56834    0.31369    6.47062   -1.70550   -2.21500   -1.64960    2.00000
 180.00716   -0.06597   19.29857   18.77458    0.06636    0.03662  186.57391   -2.10117   -2.32626   -4.46576    2.00000
 180.00388    0.01444   23.04421   22.70441    0.01495    0.00825    9.21467   -0.33198   -1.81919    0.94876    2.00000
 179.99974   -0.04453   23.35810   22.97586    0.04453    0.02458    7.10325    0.11471   -0.28067   -0.82952    2.00000
 180.02852    0.22317   23.51800   23.11123    0.22499    0.12417    6.35549   -4.44005   -0.41753   -4.02011    2.00000
 179.95110    0.01658   22.10544   21.85576    0.05163    0.02850   19.34501   -1.08363   -1.34098   -2.56986    2.00000
 180.05502   -0.00125   20.50955   20.05115    0.05504    0.03038   80.74598    2.01976    0.16659    2.18220    2.00000
 180.04330   -0.04724   21.64775   21.42354    0.06409    0.03537   27.73573   -0.17041    1.22484    0.72831    2.00000
 179.96500   -0.03119   22.14657   21.89359    0.04688    0.02587   18.66668    2.71178   -0.77827    2.21844    2.00000
 179.92188    0.02558   23.34721   22.96664    0.08221    0.04537    7.17499   -6.14170   -0.60586   -3.16833    2.00000
 180.73012    0.01759   23.62864   23.20415    0.73033    0.40311    5.88767   -1.12360   -0.54079    3.47670    2.00000
 179.89220   -0.02198   21.11414   20.86134    0.11003    0.06073   44.07309   -3.25829   -0.98125   -3.77848    2.00000
 179.38271   -0.05440   23.10421   22.75686    0.61968    0.34203    8.80672   -5.47989    0.66776   -5.03583    2.00000
 179.95630   -0.00531   23.52341   23.11581    0.04402    0.02430    6.33246   -5.23180    1.15046   -6.81842    2.00000
