#RA        DEC       MAG_G     MAG_I     ANGSEP    RPROJ     SNR       VTRUE       VSYS       VMEAS      VSYSERR    
 180.00688    0.01775   19.79146   19.29121    0.01904    0.01051  135.97951    0.86414   -0.05015    0.86025    2.00000
 179.94991    0.05677   23.58044   23.16390    0.07572    0.04179    6.09035    3.19416    0.66519   10.11571    2.00000
 179.98586   -0.00406   23.35538   22.97356    0.01471    0.00812    7.12118    1.73513    2.23491    5.81764    2.00000
 179.77333    0.07752   21.72977   21.50264    0.23956    0.13222   25.67723    2.40302   -4.63583   -3.64896    2.00000
 179.94518    0.03599   22.18445   21.92828    0.06558    0.03620   18.04451    2.20311   -0.54642   -0.90355    2.00000
 179.98834    0.01872   18.02296   18.04804    0.02206    0.01217  279.19504   -4.22559    0.86949   -3.26550    2.00000
 180.04755   -0.30121   22.17160   21.91647    0.30494    0.16830   18.25633    1.20540   -0.34783    2.43260    2.00000
 180.00021   -0.01291   22.90804   22.58423    0.01291    0.00713   10.14942   -1.62031    2.83956    2.79591    2.00000
 179.94772    0.10332   20.57023   20.11732    0.11580    0.06391   77.33618    1.91656   -2.60460   -0.41570    2.00000
 179.99910    0.01171   23.62703   23.20281    0.01174    0.00648    5.89443    2.39667   -0.55349    6.12200    2.00000
 179.98384    0.02829   23.63827   23.21221    0.03258    0.01798    5.84713   -2.30113    0.95066    2.10884    2.00000
 180.01764    0.06414   22.70493   22.40288    0.06652    0.03672   11.96107   -0.10751   -2.71517   -2.62534    2.00000
 180.00572    0.04005   22.02288   21.77820    0.04046    0.02233   20.73579  -10.18763   -0.65892   -9.81969    2.00000
 180.01125   -0.00167   23.75327   23.30752    0.01136    0.00627    5.36726   -0.54522   -1.94947   -2.86978    2.00000
 179.93100    0.04481   22.30012   22.03459    0.08228    0.04541   16.34650   -0.96512    2.29538    0.10212    2.00000
 179.99446    0.02139   23.44773   23.05177    0.02209    0.01219    6.65484   -0.22903   -1.18404    1.69334    2.00000
 180.07825   -0.03441   22.20244   21.94482    0.08547    0.04717   17.74795   -0.32365   -4.26279   -4.41930    2.00000
 179.97607    0.11669   23.69996   23.26338    0.11912    0.06574    5.58948   -0.69872    3.42194    4.13920    2.00000
 180.00656    0.08393   23.25467   22.88774    0.08419    0.04647    7.78864   -9.38313   -2.14962   -9.37377    2.00000
 179.92770   -0.07972   21.81809   21.58684    0.10763    0.05940   24.16735    3.44765   -1.38935    2.72094    2.00000
 179.99042   -0.06396   23.65693   23.22774    0.06467    0.03569    5.76894    1.83928   -0.82549    0.37532    2.00000
 180.04932    0.12100   23.29006   22.91822    0.13066    0.07211    7.55162  -12.17605    0.29688  -11.81823    2.00000
 180.09178    0.04530   22.44191   22.16512    0.10235    0.05649   14.79225    7.85178    2.94452    9.86322    2.00000
 179.99213    0.02108   23.32816   22.95050    0.02250    0.01242    7.30053   -1.45681    0.19200    0.48431    2.00000
